Date,Spot
2019-06-27,310.27541666666696
2019-06-28,302.516493055556
2019-06-29,304.82493055555597
2019-06-30,306.213402777778
2019-07-01,291.012986111111
2019-07-02,284.275190972222
2019-07-03,294.918090277778
2019-07-04,295.478784722222
2019-07-05,288.363055555556
2019-07-06,292.017465277778
2019-07-07,294.469618055556
2019-07-08,307.698125
2019-07-09,311.596909722222
2019-07-10,301.075555555556
2019-07-11,273.576493055556
2019-07-12,273.676215277778
2019-07-13,269.86378472222196
2019-07-14,250.039201388889
2019-07-15,225.56652777777802
2019-07-16,217.873611111111
2019-07-17,205.856666666667
2019-07-18,218.462118055556
2019-07-19,220.279305555556
2019-07-20,228.100902777778
2019-07-21,224.4821875
2019-07-22,220.801805555556
2019-07-23,213.713391608392
2019-07-24,208.98607638888905
2019-07-25,221.35055555555599
2019-07-26,216.75697916666698
2019-07-27,213.358784722222
2019-07-28,208.189409722222
2019-07-29,210.6375
2019-07-30,209.2765625
2019-07-31,214.285902777778
2019-08-01,214.524375
2019-08-02,218.154409722222
2019-08-03,222.003888888889
2019-08-04,220.490243055556
2019-08-05,230.9225
2019-08-06,229.28277777777802
2019-08-07,225.76375
2019-08-08,222.6246875
2019-08-09,212.842881944444
2019-08-10,208.48479166666698
2019-08-11,211.4665625
2019-08-12,212.170034722222
2019-08-13,208.499861111111
2019-08-14,200.9125
2019-08-15,184.1959375
2019-08-16,184.757638888889
2019-08-17,184.53909722222198
2019-08-18,190.337569444444
2019-08-19,198.95125
2019-08-20,197.926284722222
2019-08-21,187.30388888888905
2019-08-22,188.575138888889
2019-08-23,192.833680555556
2019-08-24,190.208506944444
2019-08-25,188.631909722222
2019-08-26,189.37635416666697
2019-08-27,186.61159722222197
2019-08-28,182.704548611111
2019-08-29,169.184409722222
2019-08-30,168.45798611111098
2019-08-31,168.790798611111
2019-09-01,171.15927083333298
2019-09-02,173.77034722222197
2019-09-03,179.13131944444405
2019-09-04,177.35152777777802
2019-09-05,173.171319444444
2019-09-06,174.208125
